Shares,Security ID,Transaction Description,Date,Amount
3100,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,11/13/15,-3100
8327.4,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,11/16/15,-8327.4
6210,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,11/17/15,-6210
494.45,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,11/27/15,-494.45
2424,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,11/30/15,-2424
2940,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/1/15,-2940
5.02,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/2/15,-5.02
34821.74,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/7/15,-34821.74
2250,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/8/15,-2250
5462.5,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/10/15,-5462.5
482.2,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/10/15,-482.2
2084.4,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/14/15,-2084.4
3885,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/21/15,-3885
750,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/24/15,-750
224.91,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,12/30/15,-224.91
3290,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/4/16,-3290
14.85,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/5/16,-14.85
3863.75,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/7/16,-3863.75
3060,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/8/16,-3060
3000,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/8/16,-3000
3677,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/11/16,-3677
913.92,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/14/16,-913.92
700,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/15/16,-700
1680,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/20/16,-1680
2990,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,1/25/16,-2990
4444,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,2/1/16,-4444
30.88,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,2/2/16,-30.88
3100,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,2/12/16,-3100
8777.4,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,2/16/16,-8777.4
224,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,2/26/16,-224
420,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,3/1/16,-420
2743.59,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,3/2/16,-2743.59
2250,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,3/8/16,-2250
5462.5,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,3/10/16,-5462.5
2052,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,3/14/16,-2052
2480,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,3/18/16,-2480
4200,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,3/21/16,-4200
224.91,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,3/29/16,-224.91
3863.75,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,3/31/16,-3863.75
2650,261908107,PURCHASED DREYFUS TREAS CASH MGMT INSTL SHARES,4/1/16,-2650
-6505,60505104,"SOLD BANK OF AMERICA CORP 6,505 SHARES AT $15.66500073",10/19/15,101573.71
-1080,163851108,"SOLD CHEMOURS CO 1,080 SHARES AT $5.85009756",11/17/15,6210
-179600.38,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,10/19/15,179600.38
-3622.67,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,10/26/15,3622.67
-420,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,11/20/15,420
-40816.19,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,11/23/15,40816.19
-494.45,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,11/24/15,494.45
-40321.24,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,12/3/15,40321.24
-45878.56,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,12/8/15,45878.56
-485.2,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,12/9/15,485.2
-225000,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,12/22/15,225000
-35000,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,12/23/15,35000
-2542.76,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,12/28/15,2542.76
-320,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,1/4/16,320
-1800,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,1/14/16,1800
-9447.3,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,1/21/16,9447.3
-70,261908107,SOLD DREYFUS TREAS CASH MGMT INSTL SHARES,1/28/16,70
-5000,729251108,STOCK MERGER 5000.0000 SHARES OF PLUM CREEK TIMBER CO INC DELIVERED SHARES AS A RESULT OF A MERGER,2/22/16,0
8000,962166104,STOCK MERGER 8000.0000 SHARES OF WEYERHAEUSER CO,2/22/16,0
1000,654106103,STOCK SPLIT 2 FOR 1 STOCK SPLIT ON NIKE INC CLASS B DUE 12/23/2015 1000 ADDITIONAL SHARES RECEIVED,12/24/15,0
