|Shares|Security ID|Transaction Description|Date|Amount|Price|Transaction Code
131|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-1500.0||c
129|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-1500.0||c
128|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-245.05||c
127|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-101.5||c
130|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-700.0||c
126|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-232.0||c
125|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-221.13||c
124|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-239.25||c
123|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-179.0||c
122|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-227.5||c
121|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-196.2||c
120|||CASH DISBURSEMENT PAID TO XXXXXXX|12/3/15|-676.2||c
199|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|130.5||c
193|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
194|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|245.05||c
195|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|101.5||c
196|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
197|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|233.02||c
198|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|700.0||c
192|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|1500.0||c
200|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|126.88||c
208|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|179.0||c
202|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|126.88||c
203|||CASH DISBURSEMENT REVERSAL OF PAID TO XXXXXXX|12/7/15|221.13||c
